obsnme,obsval,weight,obgnme
totsw_27_06480650_sum-2017,1.41,22.355235875682535,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2018,5.61,1.4121855371724301,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2019,3.2,4.340277777777778,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2020,1.17,32.467268934505405,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2021,0.21,1007.8105316200554,TOTSW_seasonal__so-west
totsw_27_06480650_sum-2022,0.66,102.03040506070808,TOTSW_seasonal__so-west
totsw_27_06480650_wint-2016,0.65,105.1939513477975,TOTSW_seasonal__so-west
totsw_27_06480650_wint-2017,1.37,23.67970826599416,TOTSW_seasonal__so-west
totsw_27_06480650_wint-2018,0.4,277.77777777777777,TOTSW_seasonal__so-west
totsw_27_06480650_wint-2019,0.9,54.869684499314126,TOTSW_seasonal__so-west
